individuals	species
C_hamatus-larva-01	hamatus-larvae
C_myersi-larva-02	myersi-larvae
C_hamatus-larva-03	hamatus-larvae
C_hamatus-larva-04	hamatus-larvae
C_hamatus-larva-05	hamatus-larvae
C_hamatus-larva-06	hamatus-larvae
C_hamatus-larva-07	hamatus-larvae
C_myersi-larva-08	myersi-larvae
C_hamatus-larva-09	hamatus-larvae
C_hamatus-larva-10	hamatus-larvae
C_hamatus-larva-11	hamatus-larvae
C_myersi-larva-12	myersi-larvae
C_myersi-larva-13	myersi-larvae
C_myersi-larva-14	myersi-larvae
C_myersi-larva-15	myersi-larvae
C_myersi-larva-16	myersi-larvae
C_myersi-larva-17	myersi-larvae
C_myersi-larva-18	myersi-larvae
C_myersi-larva-19	myersi-larvae
C_myersi-larva-20	myersi-larvae
Ch_124-hamatus	hamatus
Ch_125-hamatus	hamatus
Ch_127-hamatus	hamatus
Ch_160-hamatus	hamatus
Ch_161-hamatus	hamatus
Ch_162-hamatus	hamatus
Ch_163-hamatus	hamatus
Ch_165-hamatus	hamatus
Ch_167-hamatus	hamatus
Ch_171-hamatus	hamatus
Ch_172-hamatus	hamatus
Ch_173-hamatus	hamatus
Ch_174-hamatus	hamatus
Ch_175-hamatus	hamatus
Ch_176-hamatus	hamatus
Ch_177-hamatus	hamatus
Ch_178-hamatus	hamatus
Ch_180-hamatus	hamatus
Ch_193-hamatus	hamatus
Ch_196-hamatus	hamatus
Ch_A04-hamatus	hamatus
Ch_A10-hamatus	hamatus
Ch_A12-hamatus	hamatus
Ch_A13-hamatus	hamatus
Ch_A14-hamatus	hamatus
Ch_A17-hamatus	hamatus
Ch_A19-hamatus	hamatus
Ch_A20-hamatus	hamatus
PS82_80-hamatus	hamatus
PS82_309-hamatus	hamatus
PS82_315-hamatus	hamatus
PS82_316-hamatus	hamatus
PS82_1491-hamatus	hamatus
PS82_1493-hamatus	hamatus
PS82_1495-hamatus	hamatus
PS82_1527-hamatus	hamatus
PS82_1909-hamatus	hamatus
PS82_1911-hamatus	hamatus
PS82_1952-hamatus	hamatus
PS82_1970-hamatus	hamatus
PS82_2146-hamatus	hamatus
PS82_2151-hamatus	hamatus
PS82_2195-hamatus	hamatus
PS82_2220-hamatus	hamatus
PS82_2249-hamatus	hamatus
PS82_2304-hamatus	hamatus
PS82_2310-myersi	myersi
PS82_2318-hamatus	hamatus
PS82_2320-hamatus	hamatus
PS82_2324-hamatus	hamatus
PS82_2333-hamatus	hamatus
PS82_2335-hamatus	hamatus
PS82_2336-hamatus	hamatus
PS82_2345-hamatus	hamatus
PS82_2348-hamatus	hamatus
PS82_2353-hamatus	hamatus
PS82_2355-hamatus	hamatus
PS82_2357-hamatus	hamatus
PS82_2362-hamatus	hamatus
PS82_2363-hamatus	hamatus
PS82_2380-hamatus	hamatus
PS82_2384-hamatus	hamatus
PS82_2387-hamatus	hamatus
PS82_2394-hamatus	hamatus
PS82_2396-hamatus	hamatus
PS82_2406-hamatus	hamatus
PS82_2410-hamatus	hamatus
PS82_2416-hamatus	hamatus
PS82_2790-hamatus	hamatus
PS82_2794-hamatus	hamatus
PS82_2805-hamatus	hamatus
PS82_2812-hamatus	hamatus
PS82_2817-hamatus	hamatus
PS82_2823-hamatus	hamatus
PS82_2827-hamatus	hamatus
PS82_2831-hamatus	hamatus
PS82_2842-hamatus	hamatus
PS82_2847-hamatus	hamatus
PS82_2849-hamatus	hamatus
PS82_2851-hamatus	hamatus
PS82_2852-hamatus	hamatus
PS82_2859-hamatus	hamatus
PS82_2860-hamatus	hamatus
PS82_2861-hamatus	hamatus
PS82_2863-hamatus	hamatus
PS82_2865-hamatus	hamatus
PS82_2871-hamatus	hamatus
PS82_2873-hamatus	hamatus
PS82_2875-hamatus	hamatus
PS82_2876-hamatus	hamatus
PS82_2877-hamatus	hamatus
PS82_2878-hamatus	hamatus
PS82_2879-hamatus	hamatus
PS82_2880-hamatus	hamatus
PS82_2883-hamatus	hamatus
PS82_2885-hamatus	hamatus
PS82_2886-hamatus	hamatus
PS82_2887-hamatus	hamatus
PS82_2888-hamatus	hamatus
PS82_2889-hamatus	hamatus
PS82_2891-hamatus	hamatus
PS82_2892-hamatus	hamatus
PS82_2894-hamatus	hamatus
PS82_2895-hamatus	hamatus
PS82_2897-hamatus	hamatus
PS82_2899-hamatus	hamatus
PS82_2900-hamatus	hamatus
PS82_3181-hamatus	hamatus
PS82_3259-hamatus	hamatus
PS82_3269-hamatus	hamatus
PS82_3272-hamatus	hamatus
PS82_3305-hamatus	hamatus
PS82_3328-hamatus	hamatus
PS82_3332-hamatus	hamatus
PS82_3336-hamatus	hamatus
PS82_3339-hamatus	hamatus
PS82_3343-hamatus	hamatus
PS96_499-hamatus	hamatus
Cm_01-myersi	myersi
Cm_03-myersi	myersi
Cm_13-myersi	myersi
Cm_14-myersi	myersi
Cm_15-myersi	myersi
Cm_16-myersi	myersi
Cm_17-myersi	myersi
Cm_18-myersi	myersi
Cm_19-myersi	myersi
Cm_21-myersi	myersi
Cm_23-myersi	myersi
Cm_25-myersi	myersi
Cm_26-myersi	myersi
Cm_27-myersi	myersi
Cm_28-myersi	myersi
Cm_33-myersi	myersi
Cm_34-myersi	myersi
